num_leaves,min_child_samples,learning_rate,screen_r2,best_iter,oof_r2,mean_iter
255,3,0.02,0.9643090545375571,325,0.9653705711071643,303.0
255,5,0.02,0.9642989761756718,337,0.9653210039920739,279.0
511,3,0.02,0.9642240912620703,278,0.9651656380136439,272.0
511,5,0.02,0.9641521827523367,290,,
255,5,0.05,0.9639663931893522,118,,
511,3,0.05,0.96390725675427,110,,
255,3,0.05,0.9638255781145872,112,,
511,5,0.05,0.9637924327887925,111,,
